Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,purgeToVisibleLimit,Long Statement,The length of the statement "Cursor cursor=db.rawQuery("SELECT uid " + "FROM messages " + "WHERE empty = 0 AND deleted = 0 AND folder_id = ? ORDER BY date DESC "+ " LIMIT -1 OFFSET ?"`new String[]{Long.toString(getDatabaseId())`Integer.toString(visibleLimit)});" is 232.,401
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,doDbWork,Long Statement,The length of the statement "Cursor cursor=db.rawQuery("SELECT uid " + "FROM messages " + "WHERE empty = 0 AND deleted = 0 AND folder_id = ? ORDER BY date DESC "+ " LIMIT -1 OFFSET ?"`new String[]{Long.toString(getDatabaseId())`Integer.toString(visibleLimit)});" is 232.,414
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,updateMoreMessagesOnVisibleLimitChange,Complex Conditional,The conditional expression growVisibleLimit || (shrinkVisibleLimit && !moreMessagesWereAvailable) is complex.,449
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessageParts,Long Statement,The length of the statement "String[] columns={"id"`"type"`"parent"`"mime_type"`"decoded_body_size"`"display_name"`"header"`"encoding"`"charset"`"data_location"`"data"`"preamble"`"epilogue"`"boundary"`"content_id"`"server_extra"};" is 201.,709
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessageParts,Long Statement,The length of the statement "Cursor cursor=db.query("message_parts"`columns`"root = ?"`new String[]{String.valueOf(message.getMessagePartId())}`null`null`"seq");" is 132.,709
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessagePart,Complex Method,Cyclomatic complexity of the method is 9,741
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessagePart,Magic Number,The method contains a magic number: 2,741
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessagePart,Magic Number,The method contains a magic number: 3,741
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessagePart,Magic Number,The method contains a magic number: 4,741
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessagePart,Magic Number,The method contains a magic number: 6,741
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessagePart,Magic Number,The method contains a magic number: 9,741
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessagePart,Magic Number,The method contains a magic number: 15,741
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessagePart,Magic Number,The method contains a magic number: 11,741
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessagePart,Magic Number,The method contains a magic number: 12,741
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessagePart,Magic Number,The method contains a magic number: 13,741
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessagePart,Magic Number,The method contains a magic number: 7,741
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessagePart,Magic Number,The method contains a magic number: 10,741
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,loadMessagePart,Magic Number,The method contains a magic number: 7,741
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,getMessageUidById,Long Statement,The length of the statement "cursor=db.rawQuery("SELECT uid FROM messages WHERE id = ? AND folder_id = ?"`new String[]{Long.toString(id)`Long.toString(LocalFolder.this.databaseId)});" is 153.,828
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,doDbWork,Long Statement,The length of the statement "cursor=db.rawQuery("SELECT uid FROM messages WHERE id = ? AND folder_id = ?"`new String[]{Long.toString(id)`Long.toString(LocalFolder.this.databaseId)});" is 153.,831
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,getMessage,Long Statement,The length of the statement "cursor=db.rawQuery("SELECT " + LocalStore.GET_MESSAGES_COLS + "FROM messages "+ "LEFT JOIN message_parts ON (message_parts.id = messages.message_part_id) "+ "LEFT JOIN threads ON (threads.message_id = messages.id) "+ "WHERE uid = ? AND folder_id = ?"`new String[]{message.getUid()`Long.toString(databaseId)});" is 309.,858
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,doDbWork,Long Statement,The length of the statement "cursor=db.rawQuery("SELECT " + LocalStore.GET_MESSAGES_COLS + "FROM messages "+ "LEFT JOIN message_parts ON (message_parts.id = messages.message_part_id) "+ "LEFT JOIN threads ON (threads.message_id = messages.id) "+ "WHERE uid = ? AND folder_id = ?"`new String[]{message.getUid()`Long.toString(databaseId)});" is 309.,862
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,getAllMessagesAndEffectiveDates,Long Statement,The length of the statement "@Override public Map<String`Long> doDbWork( final SQLiteDatabase db) throws WrappedException` UnavailableStorageException {" is 123.,897
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,getAllMessagesAndEffectiveDates,Long Statement,The length of the statement "cursor=db.rawQuery("SELECT uid` date " + "FROM messages " + "WHERE empty = 0 AND deleted = 0 AND "+ "folder_id = ? ORDER BY date DESC"`new String[]{Long.toString(databaseId)});" is 176.,897
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,doDbWork,Long Statement,The length of the statement "cursor=db.rawQuery("SELECT uid` date " + "FROM messages " + "WHERE empty = 0 AND deleted = 0 AND "+ "folder_id = ? ORDER BY date DESC"`new String[]{Long.toString(databaseId)});" is 176.,900
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,getMessages,Long Statement,The length of the statement "@Override public List<LocalMessage> doDbWork( final SQLiteDatabase db) throws WrappedException` UnavailableStorageException {" is 125.,938
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,getMessages,Long Statement,The length of the statement "return LocalFolder.this.localStore.getMessages(listener`LocalFolder.this`"SELECT " + LocalStore.GET_MESSAGES_COLS + "FROM messages "+ "LEFT JOIN message_parts ON (message_parts.id = messages.message_part_id) "+ "LEFT JOIN threads ON (threads.message_id = messages.id) "+ "WHERE empty = 0 AND "+ (includeDeleted ? "" : "deleted = 0 AND ")+ "folder_id = ? ORDER BY date DESC"`new String[]{Long.toString(databaseId)});" is 415.,938
k-9-5.600,com.fsck.k9.mailstore,LocalFolder,doDbWork,Long Statement,The length of the statement "return LocalFolder.this.localStore.getMessages(listener`LocalFolder.this`"SELECT " + LocalStore.GET_MESSAGES_COLS + "FROM messages "+ "LEFT JOIN message_parts ON (message_parts.id = messages.message_part_id) "+ "LEFT JOIN threads ON (threads.message_id = messages.id) "+ "WHERE empty = 0 AND "+ (includeDeleted ? "" : "deleted = 0 AND ")+ "folder_id = ? ORDER BY date DESC"`new String[]{Long.toString(databaseId)});" is 415.,942
