Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mInput; searchEditText; mFile; mOriginal; mTimer; mModified; mInputTypefaceDefault; mInputTypefaceMono; toolbar; scrollView; nodes; mCurrent; mLine; searchTextTask; KEY_MODIFIED_TEXT; KEY_INDEX; KEY_ORIGINAL_TEXT; KEY_MONOFONT; searchViewLayout; upButton; downButton; closeButton; cacheFile; modified
AmazeFileManager-3.5.2,com.amaze.filemanager.ui.activities,TextEditorActivity,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: TextEditorActivity; SearchTextTask
AmazeFileManager-3.5.2,com.amaze.filemanager.database,UtilsHandlerTest,Feature Envy,The tool detected a instance of this smell because performTest is more interested in members of the type: UtilsHandler
AmazeFileManager-3.5.2,com.amaze.filemanager.database,SortHandler.SortHandlerHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: INSTANCE
AmazeFileManager-3.5.2,com.amaze.filemanager.database,SortHandler.SortHandlerHolder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AmazeFileManager-3.5.2,com.amaze.filemanager.database,CloudHandler,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CLOUD_PREFIX_BOX; CLOUD_PREFIX_DROPBOX; CLOUD_PREFIX_GOOGLE_DRIVE; CLOUD_PREFIX_ONE_DRIVE; CLOUD_NAME_GOOGLE_DRIVE; CLOUD_NAME_DROPBOX; CLOUD_NAME_ONE_DRIVE; CLOUD_NAME_BOX; database; context
AmazeFileManager-3.5.2,com.amaze.filemanager.database,CloudHandler,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CompressedItemViewHolder; RoundedImageView; Utils; HybridFileParcelable; MainActivity; DataUtils; AppConfig; UtilitiesProvider; ColorPreferenceHelper; UtilsHandler; SmbUtil; CryptUtil; HybridFile; OnFileFound; LayoutElementParcelable; Icons; CompressedHelper; Decompressor; ExtractService; MimeTypes; OTGUtil; RootHelper; FileUtils; PermissionsActivity; GeneralDialogCreation; ThemedActivity; ColorPickerDialog; CountItemsOrAndSizeTask; GenerateHashesTask; GenericCopyUtil; CloudUtil; CloudStreamer; CloudStreamServer; Streamer; CloudHandler; CloudSheetFragment; SmbSearchDialog; SubnetScanner; SftpConnectDialog; MainFragment; RecyclerAdapter; ItemViewHolder; ThemedTextView; SpecialViewHolder; AnimUtils; ColorUtils; DividerItemDecoration; FastScroller; LoadFilesListTask; PasteHelper; SearchWorkerFragment; SearchAsyncTask; Tab; MainActivityHelper; TabFragment; Indicator; TabHandler; ZipService; FileUtil; Operations; SshClientUtils; SshConnectionPool; EncryptDecryptUtils; EncryptService; LoadFolderSpaceDataTask; FingerprintHandler; AppsListFragment; AppsAdapter; AppHolder; CopyService; HiddenAdapter; ErrorActivity; AppBar; SearchView; BottomBar; Drawer; Billing; CloudLoaderAsyncTask; CompressedExplorerFragment; CompressedExplorerAdapter; CompressedObjectParcelable; RenameBookmark; SmbConnectDialog; EditTextColorStateUtil; FtpServerFragment; FtpService; FtpNotification
AmazeFileManager-3.5.2,com.amaze.filemanager.database,CloudContract,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: APP_PACKAGE_NAME; PROVIDER_AUTHORITY; PERMISSION_PROVIDER; DATABASE_NAME; TABLE_NAME; COLUMN_ID; COLUMN_CLIENT_ID; COLUMN_CLIENT_SECRET_KEY; DATABASE_VERSION
AmazeFileManager-3.5.2,com.amaze.filemanager.database,CloudContract,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: APP_PACKAGE_NAME; PROVIDER_AUTHORITY; PERMISSION_PROVIDER; DATABASE_NAME; TABLE_NAME; COLUMN_ID; COLUMN_CLIENT_ID; COLUMN_CLIENT_SECRET_KEY; DATABASE_VERSION
AmazeFileManager-3.5.2,com.amaze.filemanager.database,CryptHandler.CryptHandlerHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: INSTANCE
