,FullClassPath,Project,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,classname2,Fullpathname,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
1618,org.thoughtcrime.securesms.notifications.AndroidAutoReplyReceiver,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,AndroidAutoReplyReceiver,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/notifications/AndroidAutoReplyReceiver.java,AndroidAutoReplyReceiver,104,5,2,0,1,FALSE,FALSE,4,TRUE,FALSE,5,3,17,6,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1619,org.thoughtcrime.securesms.notifications.DeleteNotificationReceiver,Signal-Android-4.60.5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,DeleteNotificationReceiver,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/notifications/DeleteNotificationReceiver.java,DeleteNotificationReceiver,41,3,1,0,0,FALSE,FALSE,3,TRUE,FALSE,3,2,5,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1620,org.thoughtcrime.securesms.notifications.DoNotDisturbUtil,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,DoNotDisturbUtil,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/notifications/DoNotDisturbUtil.java,DoNotDisturbUtil,97,1,5,0,0,FALSE,FALSE,4,FALSE,FALSE,9,12,13,8,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1621,org.thoughtcrime.securesms.notifications.FailedNotificationBuilder,Signal-Android-4.60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,FailedNotificationBuilder,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/notifications/FailedNotificationBuilder.java,FailedNotificationBuilder,31,0,0,0,0,FALSE,FALSE,3,TRUE,FALSE,0,0,7,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1622,org.thoughtcrime.securesms.notifications.MarkReadReceiver,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MarkReadReceiver,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/notifications/MarkReadReceiver.java,MarkReadReceiver,108,4,3,0,0,FALSE,FALSE,3,TRUE,FALSE,5,6,23,14,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1623,org.thoughtcrime.securesms.notifications.MessageNotifier,Signal-Android-4.60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,MessageNotifier,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/notifications/MessageNotifier.java,MessageNotifier,758,10,23,2,3,FALSE,FALSE,2,TRUE,FALSE,58,41,60,125,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1624,org.thoughtcrime.securesms.notifications.NotificationChannels,Signal-Android-4.60.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,NotificationChannels,Omni-Notes-6.0.5/omniNotes/src/main/java/it/feio/android/omninotes/utils/notifications/NotificationChannels.java,NotificationChannels,47,1,1,0,1,FALSE,FALSE,2,FALSE,FALSE,0,0,7,4,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
1625,org.thoughtcrime.securesms.notifications.NotificationItem,Signal-Android-4.60.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NotificationItem,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/notifications/NotificationItem.java,NotificationItem,107,11,11,0,9,FALSE,FALSE,2,FALSE,FALSE,0,5,11,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
1626,org.thoughtcrime.securesms.notifications.NotificationState,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NotificationState,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/notifications/NotificationState.java,NotificationState,199,4,15,0,13,FALSE,FALSE,2,FALSE,FALSE,8,15,17,37,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1627,org.thoughtcrime.securesms.notifications.PendingMessageNotificationBuilder,Signal-Android-4.60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,PendingMessageNotificationBuilder,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/notifications/PendingMessageNotificationBuilder.java,PendingMessageNotificationBuilder,41,0,0,0,0,FALSE,FALSE,4,TRUE,FALSE,1,0,9,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
1628,org.thoughtcrime.securesms.notifications.SingleRecipientNotificationBuilder,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,SingleRecipientNotificationBuilder,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/notifications/SingleRecipientNotificationBuilder.java,SingleRecipientNotificationBuilder,389,8,21,6,8,FALSE,FALSE,4,TRUE,FALSE,25,29,39,65,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1629,org.thoughtcrime.securesms.permissions.PermissionsRequest,Signal-Android-4.60.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PermissionsRequest,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/permissions/PermissionsRequest.java,PermissionsRequest,92,8,2,0,0,FALSE,FALSE,2,FALSE,FALSE,10,5,7,8,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Service Provider
1630,org.thoughtcrime.securesms.permissions.RationaleDialog,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,RationaleDialog,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/permissions/RationaleDialog.java,RationaleDialog,61,0,1,0,0,FALSE,FALSE,2,FALSE,FALSE,1,3,18,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1631,org.thoughtcrime.securesms.phonenumbers.PhoneNumberFormatter,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,PhoneNumberFormatter,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/phonenumbers/PhoneNumberFormatter.java,PhoneNumberFormatter,200,9,5,0,1,FALSE,FALSE,3,TRUE,FALSE,18,8,19,22,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1632,org.thoughtcrime.securesms.pin.PinRestoreEntryFragment,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,PinRestoreEntryFragment,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/pin/PinRestoreEntryFragment.java,PinRestoreEntryFragment,296,9,19,1,3,FALSE,FALSE,4,FALSE,FALSE,11,12,37,43,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
1633,org.thoughtcrime.securesms.pin.PinState,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,PinState,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/pin/PinState.java,PinState,466,1,18,0,1,FALSE,FALSE,2,FALSE,FALSE,18,23,30,68,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1634,org.thoughtcrime.securesms.preferences.AdvancedPreferenceFragment,Signal-Android-4.60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,AdvancedPreferenceFragment,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/preferences/AdvancedPreferenceFragment.java,AdvancedPreferenceFragment,228,4,8,0,1,FALSE,FALSE,3,FALSE,FALSE,9,8,31,28,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
1635,org.thoughtcrime.securesms.preferences.AppProtectionPreferenceFragment,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,AppProtectionPreferenceFragment,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/preferences/AppProtectionPreferenceFragment.java,AppProtectionPreferenceFragment,535,4,8,0,1,FALSE,FALSE,4,FALSE,FALSE,19,7,66,99,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
1636,org.thoughtcrime.securesms.preferences.MmsPreferencesActivity,Signal-Android-4.60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,MmsPreferencesActivity,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/preferences/MmsPreferencesActivity.java,MmsPreferencesActivity,76,2,5,0,0,FALSE,FALSE,3,FALSE,FALSE,1,3,8,6,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1637,org.thoughtcrime.securesms.preferences.NotificationsPreferenceFragment,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NotificationsPreferenceFragment,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/preferences/NotificationsPreferenceFragment.java,NotificationsPreferenceFragment,239,1,9,0,1,FALSE,FALSE,3,FALSE,FALSE,8,11,20,38,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1638,org.thoughtcrime.securesms.preferences.SmsMmsPreferenceFragment,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SmsMmsPreferenceFragment,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/preferences/SmsMmsPreferenceFragment.java,SmsMmsPreferenceFragment,118,2,6,0,1,FALSE,FALSE,4,FALSE,FALSE,9,4,17,8,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1639,org.thoughtcrime.securesms.preferences.widgets.ContactPreference,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,ContactPreference,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/preferences/widgets/ContactPreference.java,ContactPreference,100,7,4,2,0,FALSE,FALSE,2,FALSE,FALSE,14,4,8,6,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1640,org.thoughtcrime.securesms.preferences.widgets.LEDColorListPreference,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,LEDColorListPreference,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/preferences/widgets/LEDColorListPreference.java,LEDColorListPreference,107,2,5,3,0,FALSE,FALSE,6,FALSE,FALSE,4,4,8,10,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1641,org.thoughtcrime.securesms.preferences.widgets.StorageGraphView,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,StorageGraphView,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/preferences/widgets/StorageGraphView.java,StorageGraphView,125,5,4,1,0,FALSE,FALSE,3,FALSE,FALSE,2,6,15,3,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
1642,org.thoughtcrime.securesms.profiles.AvatarHelper,Signal-Android-4.60.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,AvatarHelper,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/profiles/AvatarHelper.java,AvatarHelper,197,4,10,1,7,FALSE,FALSE,2,TRUE,FALSE,4,19,20,14,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1643,org.thoughtcrime.securesms.profiles.SystemProfileUtil,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SystemProfileUtil,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/profiles/SystemProfileUtil.java,SystemProfileUtil,111,1,2,0,2,FALSE,FALSE,3,FALSE,FALSE,5,3,17,6,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1644,org.thoughtcrime.securesms.profiles.edit.EditProfileFragment,Signal-Android-4.60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,EditProfileFragment,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/profiles/edit/EditProfileFragment.java,EditProfileFragment,408,18,20,0,0,FALSE,FALSE,3,FALSE,FALSE,18,28,56,45,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
1645,org.thoughtcrime.securesms.profiles.edit.EditPushGroupProfileRepository,Signal-Android-4.60.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EditPushGroupProfileRepository,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/profiles/edit/EditPushGroupProfileRepository.java,EditPushGroupProfileRepository,99,3,6,0,5,FALSE,FALSE,5,FALSE,FALSE,1,9,21,7,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Service Provider
1646,org.thoughtcrime.securesms.profiles.edit.EditSelfProfileRepository,Signal-Android-4.60.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EditSelfProfileRepository,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/profiles/edit/EditSelfProfileRepository.java,EditSelfProfileRepository,149,3,6,0,5,FALSE,FALSE,4,FALSE,FALSE,4,9,30,18,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Service Provider
1647,org.thoughtcrime.securesms.providers.BlobProvider,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,BlobProvider,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/providers/BlobProvider.java,BlobProvider,516,15,21,0,11,FALSE,FALSE,2,TRUE,FALSE,16,35,30,34,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1648,org.thoughtcrime.securesms.providers.DeprecatedPersistentBlobProvider,Signal-Android-4.60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DeprecatedPersistentBlobProvider,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/providers/DeprecatedPersistentBlobProvider.java,DeprecatedPersistentBlobProvider,194,15,16,0,12,FALSE,FALSE,4,TRUE,FALSE,14,28,16,16,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1649,org.thoughtcrime.securesms.providers.MmsBodyProvider,Signal-Android-4.60.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,MmsBodyProvider,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/providers/MmsBodyProvider.java,MmsBodyProvider,142,5,9,0,2,FALSE,FALSE,3,TRUE,FALSE,3,19,14,9,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1650,org.thoughtcrime.securesms.providers.PartProvider,Signal-Android-4.60.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,PartProvider,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/providers/PartProvider.java,PartProvider,173,5,9,0,3,FALSE,FALSE,2,TRUE,FALSE,8,19,23,21,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1651,org.thoughtcrime.securesms.qr.ScanningThread,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ScanningThread,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/qr/ScanningThread.java,ScanningThread,125,6,6,2,1,FALSE,FALSE,2,FALSE,FALSE,4,7,19,5,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
1652,org.thoughtcrime.securesms.reactions.ReactionEmojiCountAdapter,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ReactionEmojiCountAdapter,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/reactions/ReactionEmojiCountAdapter.java,ReactionEmojiCountAdapter,130,4,4,0,1,FALSE,FALSE,4,TRUE,FALSE,6,5,14,13,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Service Provider
1653,org.thoughtcrime.securesms.reactions.ReactionsConversationView,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ReactionsConversationView,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/reactions/ReactionsConversationView.java,ReactionsConversationView,205,4,5,1,0,FALSE,FALSE,3,FALSE,FALSE,11,7,22,11,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
1654,org.thoughtcrime.securesms.reactions.any.ReactWithAnyEmojiBottomSheetDialogFragment,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,ReactWithAnyEmojiBottomSheetDialogFragment,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/reactions/any/ReactWithAnyEmojiBottomSheetDialogFragment.java,ReactWithAnyEmojiBottomSheetDialogFragment,268,9,15,0,0,FALSE,FALSE,8,FALSE,FALSE,6,16,35,20,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
1655,org.thoughtcrime.securesms.recipients.LiveRecipientCache,Signal-Android-4.60.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LiveRecipientCache,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/recipients/LiveRecipientCache.java,LiveRecipientCache,139,9,5,0,2,FALSE,FALSE,3,FALSE,FALSE,6,1,20,15,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
1656,org.thoughtcrime.securesms.recipients.RecipientDetails,Signal-Android-4.60.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,RecipientDetails,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/recipients/RecipientDetails.java,RecipientDetails,161,38,0,0,0,FALSE,FALSE,2,FALSE,FALSE,1,0,20,37,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
