Fullpathname,Project,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
/core/src/main/java/de/danoeh/antennapod/core/receiver/PlayerWidget.java,AntennaPod-2.1.1,PlayerWidget,68,5,7,1,0,False,False,2,False,False,0,12,8,3,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/core/src/main/java/de/danoeh/antennapod/core/service/BasicAuthorizationInterceptor.java,AntennaPod-2.1.1,BasicAuthorizationInterceptor,67,1,1,0,0,False,False,3,True,False,6,1,12,13,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/core/src/main/java/de/danoeh/antennapod/core/service/FeedUpdateWorker.java,AntennaPod-2.1.1,FeedUpdateWorker,47,2,1,0,0,False,False,3,True,False,2,0,10,7,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/core/src/main/java/de/danoeh/antennapod/core/service/PlayerWidgetJobService.java,AntennaPod-2.1.1,PlayerWidgetJobService,243,6,6,0,2,False,False,4,False,False,13,6,30,13,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/core/src/main/java/de/danoeh/antennapod/core/service/UserAgentInterceptor.java,AntennaPod-2.1.1,UserAgentInterceptor,16,0,1,0,0,False,False,3,True,False,0,1,4,2,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/core/src/main/java/de/danoeh/antennapod/core/service/download/AntennapodHttpClient.java,AntennaPod-2.1.1,AntennapodHttpClient,171,6,4,1,1,False,False,3,False,False,6,1,33,26,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/core/src/main/java/de/danoeh/antennapod/core/service/download/DefaultDownloaderFactory.java,AntennaPod-2.1.1,DefaultDownloaderFactory,20,1,1,0,0,False,False,3,False,False,1,1,4,2,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/core/src/main/java/de/danoeh/antennapod/core/service/download/DownloadRequest.java,AntennaPod-2.1.1,DownloadRequest,310,17,29,8,12,False,False,2,False,False,18,13,8,16,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
/core/src/main/java/de/danoeh/antennapod/core/service/download/DownloadService.java,AntennaPod-2.1.1,DownloadService,658,24,22,2,3,False,False,2,False,False,39,18,51,110,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/core/src/main/java/de/danoeh/antennapod/core/service/download/DownloadServiceNotification.java,AntennaPod-2.1.1,DownloadServiceNotification,201,3,6,1,0,False,False,3,False,False,13,7,13,27,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/core/src/main/java/de/danoeh/antennapod/core/service/download/DownloadStatus.java,AntennaPod-2.1.1,DownloadStatus,171,12,17,4,7,False,False,2,False,False,0,4,6,5,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
/core/src/main/java/de/danoeh/antennapod/core/service/download/Downloader.java,AntennaPod-2.1.1,Downloader,78,5,5,0,2,False,False,1,True,False,3,0,6,3,0.0,True,False,False,True,False,public,0,0,0,True,Service Provider
/core/src/main/java/de/danoeh/antennapod/core/service/download/DownloaderFactory.java,AntennaPod-2.1.1,DownloaderFactory,9,0,0,0,0,False,False,2,False,False,0,0,2,0,0.0,True,True,False,False,False,public,0,0,0,False,Service Provider
/core/src/main/java/de/danoeh/antennapod/core/service/download/HttpDownloader.java,AntennaPod-2.1.1,HttpDownloader,313,2,6,0,0,False,False,2,True,False,24,5,32,76,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/core/src/main/java/de/danoeh/antennapod/core/service/download/ProxyConfig.java,AntennaPod-2.1.1,ProxyConfig,36,6,3,0,0,False,False,2,False,False,0,8,2,0,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/core/src/main/java/de/danoeh/antennapod/core/service/download/handler/FailedDownloadHandler.java,AntennaPod-2.1.1,FailedDownloadHandler,33,2,1,0,0,False,False,3,True,False,1,0,5,3,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/core/src/main/java/de/danoeh/antennapod/core/service/download/handler/FeedParserTask.java,AntennaPod-2.1.1,FeedParserTask,112,4,5,0,1,False,False,3,False,False,4,2,18,23,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/core/src/main/java/de/danoeh/antennapod/core/service/download/handler/FeedSyncTask.java,AntennaPod-2.1.1,FeedSyncTask,51,4,2,0,1,False,False,3,False,False,2,0,9,6,0.0,True,False,False,True,False,public,0,0,0,False,Information Holder
/core/src/main/java/de/danoeh/antennapod/core/service/download/handler/MediaDownloadedHandler.java,AntennaPod-2.1.1,MediaDownloadedHandler,113,5,2,0,1,False,False,3,True,False,5,0,18,18,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/core/src/main/java/de/danoeh/antennapod/core/service/download/handler/PostDownloaderTask.java,AntennaPod-2.1.1,PostDownloaderTask,31,1,1,0,0,False,False,3,False,False,1,0,7,2,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/core/src/main/java/de/danoeh/antennapod/core/service/playback/ExoPlayerWrapper.java,AntennaPod-2.1.1,ExoPlayerWrapper,334,13,33,13,9,False,False,3,True,False,12,17,39,35,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/core/src/main/java/de/danoeh/antennapod/core/service/playback/LocalPSMP.java,AntennaPod-2.1.1,LocalPSMP,1131,27,47,10,8,False,False,5,False,False,80,38,36,167,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/core/src/main/java/de/danoeh/antennapod/core/service/playback/PlaybackService.java,AntennaPod-2.1.1,PlaybackService,2014,45,15,0,2,False,False,2,False,False,130,18,87,329,0.0,True,True,False,False,False,public,0,0,0,False,Interfacer
/core/src/main/java/de/danoeh/antennapod/core/service/playback/PlaybackServiceMediaPlayer.java,AntennaPod-2.1.1,PlaybackServiceMediaPlayer,387,7,8,2,2,False,False,4,True,False,5,6,11,6,0.0,True,False,False,True,False,public,0,0,0,True,Service Provider
