Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
argouml-0.35.1,org.argouml.notation.providers.uml,OperationNotationUml,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
argouml-0.35.1,org.argouml.notation.providers.uml,EnumerationLiteralNotationUml,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
argouml-0.35.1,org.argouml.notation.providers.uml,AssociationEndNameNotationUml,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
argouml-0.35.1,org.argouml.notation.providers.uml,InitNotationUml,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 25
argouml-0.35.1,org.argouml.notation.providers.uml,AttributeNotationUml,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
argouml-0.35.1,org.argouml.notation.providers.java,InitNotationJava,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
argouml-0.35.1,org.argouml.notation,NotationSettings,Law of Demeter violation,The tool detected the smell in this method (isFullyHandleStereotypes) because the method voilates the law of Demeter. The long chain of method invocations is : org.argouml.notation.NotationSettings.getDefaultSettings; org.argouml.notation.NotationSettings.isFullyHandleStereotypes
argouml-0.35.1,org.argouml.notation,NotationSettings,Law of Demeter violation,The tool detected the smell in this method (isShowSingularMultiplicities) because the method voilates the law of Demeter. The long chain of method invocations is : org.argouml.notation.NotationSettings.isShowSingularMultiplicities; org.argouml.notation.NotationSettings.getDefaultSettings
argouml-0.35.1,org.argouml.notation,NotationSettings,Law of Demeter violation,The tool detected the smell in this method (isUseGuillemets) because the method voilates the law of Demeter. The long chain of method invocations is : org.argouml.notation.NotationSettings.getDefaultSettings; org.argouml.notation.NotationSettings.isUseGuillemets
argouml-0.35.1,org.argouml.notation,NotationSettings,Law of Demeter violation,The tool detected the smell in this method (isShowTypes) because the method voilates the law of Demeter. The long chain of method invocations is : org.argouml.notation.NotationSettings.getDefaultSettings; org.argouml.notation.NotationSettings.isShowTypes
