Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
GoGreen-0.1.3,groupxii.server.security,CredentialsDbAuthenticationProviderTest,testUsername0day,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,CredentialsDbAuthenticationProviderTest,testUsernameBadPass,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,UsernameAuthenticationProviderTest,missingUsernameTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,UsernameAuthenticationProviderTest,testUsername0day,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,JwtVerificationFilterTest,tokenNullTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,JwtVerificationFilterTest,tokenNotBearer,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,JwtVerificationFilterTest,invalidTokenTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.security,JwtVerificationFilterTest,validTokenTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.controllers,UserControllerTest,saveUserTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.controllers,UserControllerTest,saveUserNoPassTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.controllers,UserControllerTest,saveUserNoNameTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.controllers,UserControllerTest,addFriendTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.server.controllers,UserControllerTest,getFriendListTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.localproducts,ReadLocalProductJsonTest,readLocalProductJson,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.client,TokenManagerTest,daemonExceptionTest,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
GoGreen-0.1.3,groupxii.client.connector,TrivialConnectorTest,LoginConnectorTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GoGreen-0.1.3,groupxii.client.connector,TrivialConnectorTest,LeaderboardConnectorTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
GoGreen-0.1.3,groupxii.client.connector,TrivialConnectorTest,LocalProductsConnectorTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.client.connector,TrivialConnectorTest,transportConnectorTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
GoGreen-0.1.3,groupxii.client.connector,TrivialConnectorTest,vegetarianMealConnectorTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
GoGreen-0.1.3,groupxii.client.connector,ConnectorTest,testConstructor,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GoGreen-0.1.3,groupxii.client.connector,ConnectorTest,testPostNoBody,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GoGreen-0.1.3,groupxii.client.connector,ConnectorTest,testPostBody,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GoGreen-0.1.3,groupxii.client.connector,ConnectorTest,testLogin,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
