Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android,OTPApp,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONNECTION_FAILURE_RESOLUTION_REQUEST_CODE; CHECK_GOOGLE_PLAY_REQUEST_CODE; SETTINGS_REQUEST_CODE; CHOOSE_CONTACT_REQUEST_CODE; METADATA_LOCATION; BIKE_RENTAL_LOCATION; TRIP_TIMES_UPDATES_LOCATION_BEFORE_ID; TRIP_TIMES_UPDATES_LOCATION_AFTER_ID; PLAN_LOCATION; SERVER_INFO_LOCATION_OLD; SERVER_INFO_LOCATION_NEW; API_VERSION_MINOR_011; API_VERSION_MINOR_019; API_VERSION_V3; API_VERSION_V2; API_VERSION_V1; API_VERSION_PRE_V1; FOLDER_STRUCTURE_PREFIX_NEW; FOLDER_STRUCTURE_PREFIX_OLD; URL_ENCODING; REFRESH_SERVER_RETURN_KEY; CHANGED_SELECTED_CUSTOM_SERVER_RETURN_KEY; CHANGED_MAP_TILE_PROVIDER_RETURN_KEY; LIVE_UPDATES_DISABLED_RETURN_KEY; CHANGED_PARAMETERS_MUST_REQUEST_TRIP_RETURN_KEY; TAG_FRAGMENT_MAIN_FRAGMENT; TAG_FRAGMENT_DATE_TIME_DIALOG; MAP_TILE_GOOGLE; MAP_TILE_GOOGLE_HYBRID; MAP_TILE_GOOGLE_NORMAL; MAP_TILE_GOOGLE_SATELLITE; MAP_TILE_GOOGLE_TERRAIN; CUSTOM_MAP_TILE_SMALL_HEIGHT; CUSTOM_MAP_TILE_SMALL_WIDTH; CUSTOM_MAP_TILE_BIG_HEIGHT; CUSTOM_MAP_TILE_BIG_WIDTH; CUSTOM_MAP_TILE_Z_INDEX; BIKE_PARAMETERS_MIN_VALUE; BIKE_PARAMETERS_QUICK_DEFAULT_VALUE; BIKE_PARAMETERS_FLAT_DEFAULT_VALUE; BIKE_PARAMETERS_MAX_VALUE; COORDINATES_IMPORTANT_DIFFERENCE; ADDRESS_MAX_LINES_TO_SHOW; GEOCODING_MAX_ERROR; HTTP_CONNECTION_TIMEOUT; HTTP_SOCKET_TIMEOUT; BUNDLE_KEY_MAP_FAILED; BUNDLE_KEY_MAP_CAMERA; BUNDLE_KEY_MAP_START_MARKER_POSITION; BUNDLE_KEY_MAP_END_MARKER_POSITION; BUNDLE_KEY_TB_START_LOCATION; BUNDLE_KEY_TB_END_LOCATION; BUNDLE_KEY_OTP_BUNDLE; BUNDLE_KEY_APP_STARTS; BUNDLE_KEY_IS_START_LOCATION_GEOCODING_PROCESSED; BUNDLE_KEY_IS_END_LOCATION_GEOCODING_PROCESSED; BUNDLE_KEY_IS_START_LOCATION_CHANGED_BY_USER; BUNDLE_KEY_IS_END_LOCATION_CHANGED_BY_USER; BUNDLE_KEY_RESULT_TRIP_START_LOCATION; BUNDLE_KEY_RESULT_TRIP_END_LOCATION; BUNDLE_KEY_SAVED_LAST_LOCATION; BUNDLE_KEY_SAVED_LAST_LOCATION_CHECKED_FOR_SERVER; BUNDLE_KEY_TRIP_DATE; BUNDLE_KEY_ARRIVE_BY; BUNDLE_KEY_TIMEPICKER_SAVED_HOUR; BUNDLE_KEY_TIMEPICKER_SAVED_MINUTE; BUNDLE_KEY_SETTINGS_INTENT; BUNDLE_KEY__IS_ALARM_BIKE_RENTAL_ACTIVE; BUNDLE_KEY_INTENT_TRIP_ID; BUNDLE_KEY_PREVIOUS_OPTIMIZATION; BUNDLE_KEY_PREVIOUS_MODES; BUNDLE_KEY_PREVIOUS_BIKE_TRIANGLE_MIN_VALUE; BUNDLE_KEY_PREVIOUS_BIKE_TRIANGLE_MAX_VALUE; BUNDLE_KEY_CUSTOM_SERVER_METADATA; COLOR_ROUTE_LINE; PREFERENCE_KEY_ORIGIN_IS_MY_LOCATION; PREFERENCE_KEY_DESTINATION_IS_MY_LOCATION; PREFERENCE_KEY_MAP_TILE_SOURCE; PREFERENCE_KEY_GEOCODER_PROVIDER; PREFERENCE_KEY_AUTO_DETECT_SERVER; PREFERENCE_KEY_CUSTOM_SERVER_URL; PREFERENCE_KEY_CUSTOM_SERVER_BOUNDS; PREFERENCE_KEY_CUSTOM_SERVER_URL_IS_VALID; PREFERENCE_KEY_REFRESH_SERVER_LIST; PREFERENCE_KEY_OTP_PROVIDER_FEEDBACK; PREFERENCE_KEY_MAX_WALKING_DISTANCE; PREFERENCE_KEY_WHEEL_ACCESSIBLE; PREFERENCE_KEY_SELECTED_SERVER; PREFERENCE_KEY_SELECTED_CUSTOM_SERVER; PREFERENCE_KEY_USE_ANDROID_GEOCODER; PREFERENCE_KEY_USE_INTELLIGENT_MARKERS; PREFERENCE_KEY_USE_DEVICE_TIMEZONE; PREFERENCE_KEY_LAST_TRAVERSE_MODE_SET; PREFERENCE_KEY_LAST_BIKE_TRIANGLE_MIN_VALUE; PREFERENCE_KEY_LAST_BIKE_TRIANGLE_MAX_VALUE; PREFERENCE_KEY_LAST_OPTIMIZATION; PREFERENCE_KEY_API_VERSION; PREFERENCE_KEY_FOLDER_STRUCTURE_PREFIX; PREFERENCE_KEY_LIVE_UPDATES; PREFERENCE_KEY_LIVE_UPDATES_CATEGORY; PREFERENCE_KEY_REALTIME_AVAILABLE; PREFERENCE_KEY_PREFERENCE_SCREEN; PREFERENCE_KEY_APP_VERSION; PREFERENCE_KEY_EXECUTED_VERSION_CODE_13; PREFERENCE_KEY_ABOUT; PREFERENCE_KEY_ABOUT_CATEGORY; selectedServer; TAG; EXPIRATION_DAYS_FOR_SERVER_LIST; defaultInitialZoomLevel; defaultMediumZoomLevel; defaultMyLocationZoomLevel; FORMAT_COORDINATES; FORMAT_DISTANCE_METERS; FORMAT_DISTANCE_KILOMETERS; FORMAT_OTP_SERVER_DATE_RESPONSE; FORMAT_OTP_SERVER_DATE_QUERY; FORMAT_OTP_SERVER_TIME_QUERY; OTP_RENTAL_QUALIFIER; DEFAULT_UPDATE_INTERVAL_BIKE_RENTAL; DEFAULT_UPDATE_INTERVAL_TRIP_TIME; INTENT_UPDATE_BIKE_RENTAL_ACTION; INTENT_UPDATE_TRIP_TIME_ACTION; INTENT_NOTIFICATION_ACTION_OPEN_APP; INTENT_NOTIFICATION_ACTION_DISMISS_UPDATES; INTENT_NOTIFICATION_RESUME_APP_WITH_TRIP_ID
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android,AboutPlayServicesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android,SettingsActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.util,ExpandableListFragment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.util,ExpandableListFragment,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.util,DirectionsGenerator,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 137
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.util,RangeSeekBar,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: paint; thumbImage; thumbPressedImage; thumbWidth; thumbHalfWidth; thumbHalfHeight; lineHeight; padding; absoluteMinValue; absoluteMaxValue; numberType; absoluteMinValuePrim; absoluteMaxValuePrim; normalizedMinValue; normalizedMaxValue; pressedThumb; notifyWhileDragging; IS_MULTI_COLORED; SINGLE_COLOR; LEFT_COLOR; MIDDLE_COLOR; RIGHT_COLOR; BACKGROUND_COLOR; listener; DEFAULT_COLOR; INVALID_POINTER_ID; ACTION_POINTER_UP; ACTION_POINTER_INDEX_MASK; ACTION_POINTER_INDEX_SHIFT; mDownMotionX; mActivePointerId; mTouchProgressOffset; mScaledTouchSlop; mIsDragging
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.util,RangeSeekBar,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.util,RangeSeekBar.OnRangeSeekBarChangeListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
OpenTripPlanner-for-Android-2.1.5,edu.usf.cutr.opentripplanner.android.util,RangeSeekBar.Thumb,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
